added_route_id,trip_id
741,61902381
742,61902381
743,61902381
741,61902383
742,61902383
743,61902383
741,61902385
742,61902385
743,61902385
741,61902387
742,61902387
743,61902387
741,61902388
742,61902388
743,61902388
741,61902392
742,61902392
743,61902392
741,61902394
742,61902394
743,61902394
741,61902395
742,61902395
743,61902395
741,61902397
742,61902397
743,61902397
741,61902398
742,61902398
743,61902398
741,61902465
742,61902465
743,61902465
741,61902965
742,61902965
743,61902965
741,61902966
742,61902966
743,61902966
741,61902967
742,61902967
743,61902967
741,61903137
742,61903137
743,61903137
741,61903139
742,61903139
743,61903139
741,61903145
742,61903145
743,61903145
741,61947708
742,61947708
743,61947708
741,61947712
742,61947712
743,61947712
741,61947716
742,61947716
743,61947716
741,61947720
742,61947720
743,61947720
741,61947721
742,61947721
743,61947721
741,61947725
742,61947725
743,61947725
741,61947734
742,61947734
743,61947734
741,61947735
742,61947735
743,61947735
741,61947736
742,61947736
743,61947736
741,61947737
742,61947737
743,61947737
741,61947738
742,61947738
743,61947738
741,61947739
742,61947739
743,61947739
741,61947740
742,61947740
743,61947740
741,62102593
742,62102593
743,62102593
741,62102595
742,62102595
743,62102595
741,62102596
742,62102596
743,62102596
741,62102598
742,62102598
743,62102598
741,62102601
742,62102601
743,62102601
741,62102603
742,62102603
743,62102603
741,62102605
742,62102605
743,62102605
741,62102607
742,62102607
743,62102607
741,62102609
742,62102609
743,62102609
741,62102611
742,62102611
743,62102611
741,62102612
742,62102612
743,62102612
741,62102614
742,62102614
743,62102614
741,62102617
742,62102617
743,62102617
741,62102619
742,62102619
743,62102619
741,62102621
742,62102621
743,62102621
741,62102623
742,62102623
743,62102623
741,62102625
742,62102625
743,62102625
741,62102627
742,62102627
743,62102627
741,62102629
742,62102629
743,62102629
741,62102632
742,62102632
743,62102632
741,62102634
742,62102634
743,62102634
741,62102636
742,62102636
743,62102636
741,62102638
742,62102638
743,62102638
741,62102639
742,62102639
743,62102639
741,62102641
742,62102641
743,62102641
741,62102643
742,62102643
743,62102643
741,62102645
742,62102645
743,62102645
741,62102646
742,62102646
743,62102646
741,62102650
742,62102650
743,62102650
741,62102652
742,62102652
743,62102652
741,62102653
742,62102653
743,62102653
741,62102655
742,62102655
743,62102655
741,62102656
742,62102656
743,62102656
741,62102723
742,62102723
743,62102723
741,62103222
742,62103222
743,62103222
741,62103224
742,62103224
743,62103224
741,62103225
742,62103225
743,62103225
741,62103395
742,62103395
743,62103395
741,62103398
742,62103398
743,62103398
